"","p_id","arm 1","arm 2","brown toy","green toy","hand 1","hand 2","head","leg 1","leg 2","speaker 1","speaker 2","torso"
"1","P01",22.3,109.4,8,8.2,41.5,319.5,388.2,3200.4,447.7,464.3,11.6,373.4
"2","P02",653.6,591.9,2611.6,0,963.7,2589.4,16672.5,10960.9,5004.6,879.5,231.9,10626.3
"3","P03",493.1,2282.8,2047.4,22.3,1296.4,1220.9,13301.6,287.3,7693.9,2150.5,179.6,6424.9
"4","P04",7183.4,324.1,6450.1,184.1,2455.2,2460.3,13542.5,4507.8,3529,1281,440.7,3884.4
"5","P05",1396.8,320.1,3632.9,531.5,1158.7,1646.1,16848.2,25.5999999999999,3962,172.2,222.1,26539.5
"6","P06",97.3,1142.4,6850.6,196,4361.7,3957.1,6354.3,9392.8,4884.7,393.2,0,7183.1
"7","P07",163.7,827,9123.9,399.5,509.7,4408.7,2177.2,1085.1,3555.3,843.7,928,963.6
"8","P34",1932.2,11963.8,5561.8,157.5,5840.4,113.8,18522.6,5859.9,8944.6,1636.3,958.9,11250.4
"9","P35",6138.3,1429.7,7865.2,349.8,1372.9,2667.3,1375.8,4689.3,11308.9,2558.9,1591.5,16286.7
"10","P36",677.4,1313.5,7811.9,0,91.9,5061.9,795.899999999998,3199.2,9335,953.4,23.3,34628.7
"11","P37",2427.6,1025,13477,0,214.7,5517.5,2890.4,5851.2,13907,1500.2,75.7,20030.7
"12","P38",2576.3,2083.7,8441.1,739.7,1059.2,6149.3,7814.3,685.5,10520.8,250.5,246.5,20211
"13","P39",3985.7,73,4867.3,228,320.5,6242.2,20116.5,9156.8,10293.2,2894.1,804.9,7244.2
"14","P40",1339.5,54.7,7378.4,0,140.7,3041.9,37486.8,4718.1,4223.6,1202.8,971.4,12772.3
"15","P12",1972.4,1528.2,5336.7,984.2,788.2,2467,18687.7,3223.8,1247.2,137.1,8,28195.3
"16","P13",2848.8,147.8,1878,511.2,931.1,1138.3,12101.4,4184.3,9300.5,3227.5,622.9,22124.9
"17","P14",1684.7,253.7,3211.3,465.2,339.7,3816.7,4402.1,13625.7,5185.1,684.5,851.3,29148.4
"18","P15",0,0,372.7,0,0,8,524,199.9,168.1,0,0,0
"19","P15 (1)",8589,480.5,4473.5,282.9,1734.5,663.9,8268.6,4199.6,11905.3,677.6,1680.3,31140.7
"20","P16",2080.3,389,4442.1,1128.4,916.3,4217.4,15308.6,2436.1,7488.7,179.3,939.7,48188.9
"21","P17",14169,2603.8,3246.8,256.3,3478,6262.6,19369.9,25005.8,1162.1,1376,623.8,4608.2
"22","P18",0,0,0,0,0,0,36.8,8,102.9,0,0,0
"23","P18 (1)",359.400000000001,7467.5,5681.6,42.9,764.4,3550.4,23883.4,11364,4999.8,294.3,159.7,22040.1
"24","P19",4244.7,3884,7137.4,2.40000000000009,1021.9,5341.6,15635.2,9380.3,8951.4,1948,861.8,5209.2
"25","P20",360.6,1123.1,1373.6,380.1,158.9,1937.2,16593.4,4593.6,1841.8,4,0,23949.1
"26","P21",2227,812.6,3642.4,408.2,519.5,10918.4,23376.6,7661.1,12925.6,1609.6,679.6,2943.5
"27","P22",1547.4,18.9,11789.5,344.1,888.9,1919,15353.5,800.5,5360.1,5598.7,1655.9,36603.1
"28","P23",4736.6,35.4,2815.4,729.1,1783.1,423,3919.1,6036.3,7080.7,248.3,166.4,32360.2
"29","P24",2133.9,510.9,3697.8,821.3,1715.6,1850.1,24051.9,2395.9,800.4,2079.2,723.6,50856.4
"30","P25",7189.7,6340.8,11734.7,879.6,455,271.6,3232,2982.5,6731.9,17117.7,2210.4,3675.5
"31","P26",1088.2,1663.2,7286.2,603.5,8,5941,5338.4,10955.9,9105.2,3312.7,1819.8,309.700000000001
"32","P27",1966.4,1707.9,15046.6,2967.6,60.6,500.2,11970,2606.7,4875.6,12206.9,3130.5,12505.6
"33","P28",6242.7,2137,5691.7,196.2,27813.9,1803.2,7397.3,3078.3,7822.8,857.8,12,1405.9
"34","P29",3356.9,468.3,9377.9,643.9,234,4242.5,12214.2,4955.9,9038.8,3513.4,1723.9,6341.5
"35","P30",744.2,255.1,2959.1,802.8,813.2,3557.6,14486.9,8896.3,407.9,962.8,463.8,18388.7
"36","P31",2008.8,454.3,13642.9,1223.9,1658.4,4592.8,8857.1,9547,11096.3,6423.3,659.8,5886.1
"37","P32",5403.4,125.8,8268.3,848.8,577.9,6829.9,333.200000000001,5456.5,4689.4,3870.5,1037.5,21947.4
"38","P33",975.6,2692.4,3030.3,741.8,1334,3150.6,9409.4,5715,1072,3509.4,1955.5,37297.4
